NO,SCAN_CODE,ROW,SIZE X,SIZE Y,CODE,NON_MAPPABLE
130,0,1,1,1,41,29
-1,0,1,1,1,0,0
2,0,1,1,1,58,3a
3,0,1,1,1,59,3b
4,0,1,1,1,60,3c
5,0,1,1,1,61,3d
-1,0,1,0.47,1,0,0
6,0,1,1,1,62,3e
7,0,1,1,1,63,3f
8,0,1,1,1,64,40
9,0,1,1,1,65,41
-1,0,1,0.47,1,0,0
10,0,1,1,1,66,42
11,0,1,1,1,67,43
12,0,1,1,1,68,44
13,0,1,1,1,69,45
-1,0,1,0.26,1,0,0
61,0,1,1,1,70,46
120,0,1,1,1,71,47
62,0,1,1,1,72,48
-1,0,1,0.25,1,0,0
73,0,1,1,1,178,b2
74,0,1,1,1,179,b3
75,0,1,1,1,180,b4
76,0,1,1,1,181,b5
ROW_END,,,,,0,
14,0,2,1,1,53,34
15,0,2,1,1,30,1e
16,0,2,1,1,31,1f
17,0,2,1,1,32,20
18,0,2,1,1,33,21
19,0,2,1,1,34,22
20,0,2,1,1,35,23
21,0,2,1,1,36,24
22,0,2,1,1,37,25
23,0,2,1,1,38,26
24,0,2,1,1,39,27
25,0,2,1,1,45,2d
26,0,2,1,1,46,2e
99,0,2,1,1,42,2a
100,0,2,1,1,42,2a
-1,0,2,0.25,1,0,0
63,0,2,1,1,73,49
64,0,2,1,1,74,4a
65,0,2,1,1,75,4b
-1,0,2,0.25,1,0,0
1,0,2,1,1,83,53
77,0,2,1,1,84,54
78,0,2,1,1,85,55
79,0,2,1,1,86,56
ROW_END,,,,,0,0
27,0,3,1.54,1,43,2b
28,0,3,1,1,20,14
29,0,3,1,1,26,1a
30,0,3,1,1,8,8
31,0,3,1,1,21,15
32,0,3,1,1,23,17
33,0,3,1,1,28,1c
34,0,3,1,1,24,18
35,0,3,1,1,12,c
36,0,3,1,1,18,12
37,0,3,1,1,19,13
38,0,3,1,1,47,2f
39,0,3,1,1,48,30
98,0,3,1.52,1,49,31
-1,0,3,0.25,1,0,0
66,0,3,1,1,76,4c
67,0,3,1,1,77,4d
68,0,3,1,1,78,4e
-1,0,3,0.25,1,0,0
80,0,3,1,1,95,5f
81,0,3,1,1,96,60
82,0,3,1,1,97,61
115,0,3,1,1,87,57
ROW_END,,,,,0,0
119,0,4,1.75,1,57,39
40,0,4,1,1,4,4
41,0,4,1,1,22,16
42,0,4,1,1,7,7
43,0,4,1,1,9,9
44,0,4,1,1,10,a
45,0,4,1,1,11,b
46,0,4,1,1,13,d
47,0,4,1,1,14,e
48,0,4,1,1,15,f
49,0,4,1,1,51,33
50,0,4,1,1,52,34
131,0,4,1,1,50,32
111,0,4,1.3,1,40,28
-1,0,4,0.24,1,0,0
-1,0,4,1,1,0,
-1,0,4,1,1,0,
-1,0,4,1,1,0,
-1,0,4,0.27,1,0,
83,0,4,1,1,92,5c
84,0,4,1,1,93,5d
85,0,4,1,1,94,5e
116,0,4,1,1,87,57
ROW_END,,,,,0,
97,0,5,1.25,1,225,e1
132,0,5,1,1,100,64
51,0,5,1,1,29,1d
52,0,5,1,1,27,1b
53,0,5,1,1,6,6
54,0,5,1,1,25,19
55,0,5,1,1,5,5
56,0,5,1,1,17,11
57,0,5,1,1,16,10
58,0,5,1,1,54,36
59,0,5,1,1,55,37
60,0,5,1,1,56,38
101,0,5,1.8,1,229,e5
102,0,5,1,1,229,e5
-1,0,5,0.25,1,0,
-1,0,5,1,1,0,
69,0,5,1,1,82,52
-1,0,5,1,1,0,
-1,0,5,0.26,1,0,
86,0,5,1,1,89,59
87,0,5,1,1,90,5a
88,0,5,1,1,91,5b
117,0,5,1,1,88,58
ROW_END,,,,,0,
103,0,6,1.25,1,224,e0
104,0,6,1.35,1,227,e3
105,0,6,1.35,1,226,e2
106,0,6,6.175,1,44,2c
107,0,6,1.35,1,230,e6
108,0,6,1.35,1,251,fb
109,0,6,1.35,1,101,65
110,0,6,1.2,1,228,e4
-1,0,6,0.26,1,0,
70,0,6,1,1,80,50
71,0,6,1,1,81,51
72,0,6,1,1,79,4f
-1,0,6,0.25,1,0,0
113,0,6,1,1,98,62
114,0,6,1,1,98,62
89,0,6,1,1,99,63
118,0,6,1,1,88,58
